"id","name","party","type","r_2008","r_2010","r_2012","r_2014","r_2016","r_total"
"N00034120","Perry, Scott (R-PA)","r","House","0","0","1000","0","0","1000"
"N00034416","Pittenger, Robert (R-NC)","r","House","0","0","1000","0","0","1000"
"N00030962","Rigell, Scott (R-VA)","r","House","0","0","1000","1250","0","2250"
"N00033278","Tavaglione, John F (R-CA)","r","House","0","0","1000","0","0","1000"
"N00033539","Weber, Randy (R-TX)","r","House","0","0","1000","0","0","1000"
"N00029131","West, Allen (R-FL)","r","House","0","0","1000","0","0","1000"
"N00000716","Payne, Donald M (D-NJ)","d","House","0","0","700","0","0","700"
"N00029891","Connolly, Gerry (D-VA)","d","House","0","0","500","0","0","500"
"N00033378","Delong, Gary (R-CA)","r","House","0","0","500","0","0","500"
"N00029070","Himes, Jim (D-CT)","d","House","0","0","500","0","0","500"
"N00033424","Hirschbiel, Paul Odell Jr (D-VA)","d","House","0","0","500","0","0","500"
"N00027778","Kilroy, Mary Jo (D-OH)","d","House","0","0","500","0","0","500"
"N00034108","Healy-Abrams, Joyce (D-OH)","d","House","0","0","250","0","0","250"
"N00001127","Crowley, Joseph (D-NY)","d","House","0","0","0","1500","0","1500"
"N00006954","Miller, Gary (R-CA)","r","House","0","0","0","3499","0","3499"
"N00033486","Perry, Rick (R)","r","President","0","0","16000","0","0","16000"
"N00008333","Gingrich, Newt (R)","r","President","0","0","5000","0","0","5000"
"N00001380","Santorum, Rick (R)","r","President","0","0","2750","0","0","2750"
"N00033130","Pawlenty, Tim (R)","r","President","0","0","1000","0","0","1000"
"N00000699","Menendez, Robert (D-NJ)","d","Senate","0","0","34200","3500","1000","38700"
"N00033445","Dewhurst, David H (R-TX)","r","Senate","0","0","27000","0","0","27000"
"N00033174","Mandel, Josh (R-OH)","r","Senate","0","0","26472","1000","0","27472"
"N00006546","Wilson, Heather A (R-NM)","r","Senate","0","0","13500","0","0","13500"
"N00009957","Allen, George (R-VA)","r","Senate","0","0","12500","0","0","12500"
"N00006236","Barrasso, John A (R-WY)","r","Senate","0","0","12500","750","0","13250"
"N00029044","Bruning, Jon (R-NE)","r","Senate","0","0","12500","0","0","12500"
"N00033076","Haridopolos, Mike (R-FL)","r","Senate","0","0","11800","0","0","11800"
"N00033492","Warren, Elizabeth (D-MA)","d","Senate","0","0","10250","0","0","10250"
"N00013873","Boozman, John (R-AR)","r","Senate","0","0","9500","0","0","9500"
"N00003900","Mourdock, Richard E (R-IN)","r","Senate","0","0","8750","0","0","8750"
"N00004645","Rehberg, Denny (R-MT)","r","Senate","0","0","7500","0","0","7500"
"N00033717","Fitzgerald, Jeff (R-WI)","r","Senate","0","0","7000","0","0","7000"
"N00001764","Lugar, Richard G (R-IN)","r","Senate","0","0","7000","0","0","7000"
"N00033728","Thompson, Tommy G (R-WI)","r","Senate","0","0","7000","2500","0","9500"
"N00009677","Akin, Todd (R-MO)","r","Senate","0","0","5000","1000","0","6000"
"N00009926","Nelson, Bill (D-FL)","d","Senate","0","0","5000","0","0","5000"
"N00033707","Lingle, Linda (R-HI)","r","Senate","0","0","4000","0","0","4000"
"N00029617","Hagan, Kay R (D-NC)","d","Senate","0","0","2500","2500","0","5000"
"N00034218","Herrod, Chris (R-UT)","r","Senate","0","0","2500","0","0","2500"
"N00031304","Lemieux, George S (R-FL)","r","Senate","0","0","2500","0","0","2500"
"N00031165","McMahon, Linda (R-CT)","r","Senate","0","0","2500","0","0","2500"
"N00033026","Steelman, Sarah H (R-MO)","r","Senate","0","0","2400","0","0","2400"
"N00029835","Heinrich, Martin (D-NM)","d","Senate","0","0","1850","0","0","1850"
"N00033085","Cruz, Ted (R-TX)","r","Senate","0","0","1500","1000","1295","3795"
"N00033172","Balderas, Hector (D-NM)","d","Senate","0","0","250","0","0","250"
"N00028139","Hirono, Mazie K (D-HI)","d","Senate","0","0","250","0","0","250"
"N00031233","Barr, Andy (R-KY)","r","House","0","0","0","12800","1500","14300"
"N00029908","Garcia, Joe (D-FL)","d","House","0","0","0","12000","0","12000"
"N00025726","Cole, Tom (R-OK)","r","House","0","0","0","10400","0","10400"
"N00035716","Sink, Alex (D-FL)","d","House","0","0","0","9750","0","9750"
"N00036402","Celis, Pedro (R-WA)","r","House","0","0","0","9200","0","9200"
"N00002526","Barr, Bob (R-GA)","r","House","0","0","0","7200","2600","9800"
